substrate,group,seed,time,threshold,phys_msd,near_return_frac,near_return_n,near_return_mean_perp,near_return_median_perp
AB_N30,texture_low_depth_low,1,128,2.0,111.59655175641348,0.03639846743295019,76,1.2275618895353886,1.4142135623730951
AB_N30,texture_low_depth_low,1,128,3.0,111.59655175641348,0.07040229885057471,147,1.3317836646784023,1.08239220030269
AB_N30,texture_low_depth_low,1,256,1.0,231.84731602667406,0.004789272030651341,10,1.2934313455281052,1.84775906504015
AB_N30,texture_low_depth_low,1,256,2.0,231.84731602667406,0.023946360153256706,50,1.1409729634988508,1.4142135623
AB_N30,texture_low_depth_low,1,256,3.0,231.84731602667406,0.03735632183908046,78,1.2466529806190332,1.08239220030269
AB_N30,texture_low_depth_low,1,512,1.0,447.8947882838555,0.0019157088122605363,4,0.923879532520075,0.923879532520075
AB_N30,texture_low_depth_low,1,512,2.0,447.8947882838555,0.011973180076628353,25,1.0477451602390404,0.76536686473746
AB_N30,texture_low_depth_low,1,512,3.0,447.8947882838555,0.0210727969348659,44,1.2488321104199158,1.08239220030269
AB_N30,texture_low_depth_low,1,1024,1.0,801.6726889495274,0.0023946360153256703,5,1.4782072520321201,1.84775906504015
AB_N30,texture_low_depth_low,1,1024,2.0,801.6726889495274,0.010057471264367816,21,1.2380596453524904,1.4142135623730951
AB_N30,texture_low_depth_low,1,1024,3.0,801.6726889495274,0.013409961685823755,28,1.2369660962756435,1.08239220030269
AB_N30,all_interior75,2,64,1.0,59.85092631729261,0.01776575092652509,302,0.8198666050073049,0.0
AB_N30,all_interior75,2,64,2.0,59.85092631729261,0.08812283075475028,1498,0.9739698663557863,0.76536686473746
AB_N30,all_interior75,2,64,3.0,59.85092631729261,0.12665450908876993,2153,1.0670605811599594,1.08239220030269
AB_N30,all_interior75,2,128,1.0,116.23019190160151,0.008235778575210306,140,1.0162674857638434,1.847759064947762
AB_N30,all_interior75,2,128,2.0,116.23019190160151,0.04482616624507324,762,1.0163348070783456,0.76536686473746
AB_N30,all_interior75,2,128,3.0,116.23019190160151,0.06588622860168244,1120,1.0994144375042423,1.08239220030269
AB_N30,all_interior75,2,256,1.0,227.89046495255144,0.004059062297782222,69,1.0443855584899178,1.847759064947762
AB_N30,all_interior75,2,256,2.0,227.89046495255144,0.02247191011235955,382,1.0201824735282177,0.76536686473746
AB_N30,all_interior75,2,256,3.0,227.89046495255144,0.03200188246367433,544,1.0997053388741453,1.082392200283556
AB_N30,all_interior75,2,512,1.0,435.3010264226603,0.002470733572563092,42,0.7479024786995946,0.0
AB_N30,all_interior75,2,512,2.0,435.3010264226603,0.012118359903523737,206,0.9451919563171463,0.76536686473746
AB_N30,all_interior75,2,512,3.0,435.3010264226603,0.01847167480440026,314,1.0503891093196316,1.0823922002644217
AB_N30,all_interior75,2,1024,1.0,809.0812935400547,0.0013530207659274076,23,0.9640482078430181,1.847759064947762
AB_N30,all_interior75,2,1024,2.0,809.0812935400547,0.00694158479910583,118,1.020300059453295,0.76536686473746
AB_N30,all_interior75,2,1024,3.0,809.0812935400547,0.01000058826989823,170,1.092864360455053,1.0823922002644217
AB_N30,texture_high_q25,2,64,1.0,60.78585464349648,0.016701952481768995,71,0.8067680424625229,0.0
AB_N30,texture_high_q25,2,64,2.0,60.78585464349648,0.08539167254763586,363,0.9285024284441525,0.76536686473746
AB_N30,texture_high_q25,2,64,3.0,60.78585464349648,0.1213832039520113,516,0.9938344588307014,1.0823922002644217
AB_N30,texture_high_q25,2,128,1.0,116.92842540685648,0.008939073159256645,38,0.8752542939486052,0.0
AB_N30,texture_high_q25,2,128,2.0,116.92842540685648,0.04751823100446954,202,0.9602075013574963,0.76536686473746
AB_N30,texture_high_q25,2,128,3.0,116.92842540685648,0.0672782874617737,286,1.0289261882101475,1.0823922002644217
AB_N30,texture_high_q25,2,256,1.0,236.29231933528212,0.003293342742884027,14,0.6599139517786549,0.0
AB_N30,texture_high_q25,2,256,2.0,236.29231933528212,0.0207010115266996,88,0.9935482835654121,0.76536686473746
AB_N30,texture_high_q25,2,256,3.0,236.29231933528212,0.031992472359444836,136,1.062800686267307,1.0823922002644217
AB_N30,texture_high_q25,2,512,1.0,444.8152588152284,0.0018819101387908728,8,0.6929096493852728,0.0
AB_N30,texture_high_q25,2,512,2.0,444.8152588152284,0.0103505057633498,44,0.9824043283402883,0.76536686473746
AB_N30,texture_high_q25,2,512,3.0,444.8152588152284,0.013879087273582686,59,1.0257750202157974,1.0823922002644217
AB_N30,texture_high_q25,2,1024,1.0,807.8633485115056,0.0009409550693954364,4,1.3858192987609785,1.847759065001882
